127.0.0.1, 2013-01-19 12:19:01, GET, /, HTTP/1.1, 303, 0.015000
127.0.0.1, 2013-01-19 12:19:02, GET, /welcome/default/index, HTTP/1.1, 200, 1.219000
127.0.0.1, 2013-01-19 12:19:02, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-01-19 12:19:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:14, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:16, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 12:19:20, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-01-19 12:19:20, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.156000
127.0.0.1, 2013-01-19 12:19:20, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-19 12:19:31, POST, /welcome/default/user/login, HTTP/1.1, 200, 1.578000
127.0.0.1, 2013-01-19 12:19:31, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-19 12:19:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-19 12:19:40, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 08:38:11, GET, /, HTTP/1.1, 303, 0.016000
127.0.0.1, 2013-01-21 08:38:14, GET, /welcome/default/index, HTTP/1.1, 200, 2.906000
127.0.0.1, 2013-01-21 08:38:15, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.047000
127.0.0.1, 2013-01-21 08:39:06, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-01-21 08:39:06, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 08:39:06, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 08:39:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-01-21 08:39:13, GET, /admin/default/index, HTTP/1.1, 200, 0.593000
127.0.0.1, 2013-01-21 08:39:14, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.032000
